severity,seed,region_index,region_label,hemisphere,semantic_membership,episodic_membership,t20_ms,t50_ms,t80_ms,spread_t80_t20_ms,total_energy_psp2_ms,tail_energy_fraction,absolute_peak_psp,absolute_peak_after_onset_ms
0.0,11,23,L_A1,L,False,False,26.0,46.0,164.0,138.0,4.5539032809822935,2.398566929556878e-13,0.3007056283165195,28.0
0.0,11,203,R_A1,R,False,False,26.0,46.0,166.0,140.0,4.593256083485878,2.2622058329318958e-13,0.30054675075481363,28.0
0.0,11,68,L_9m,L,True,False,204.0,366.0,576.0,372.0,5.164810768154821e-05,4.307631486296445e-08,0.0004520031014401127,282.0
0.0,11,248,R_9m,R,True,False,274.0,420.0,628.0,354.0,4.015307167482672e-05,5.304916980608454e-08,0.00039582503366020205,370.0
0.0,11,64,L_10r,L,True,False,164.0,286.0,450.0,286.0,4.122039225967882e-05,2.0877040420758563e-08,0.00045830124952850326,236.0
0.0,11,244,R_10r,R,True,False,236.0,392.0,580.0,344.0,2.5836479768175073e-05,3.842077176515731e-08,0.0003228263270127485,324.0
0.0,11,87,L_10v,L,True,False,314.0,458.0,656.0,342.0,2.153309832111782e-05,4.2038059867109333e-08,0.0002958927104135256,412.0
0.0,11,267,R_10v,R,True,False,192.0,320.0,494.0,302.0,2.9323574195705492e-05,2.688851927040827e-08,0.0003700159051529539,278.0
0.0,11,62,L_8BM,L,True,False,242.0,406.0,608.0,366.0,4.5085293887590404e-05,4.8539194762127295e-08,0.00041835519053279313,326.0
0.0,11,242,R_8BM,R,True,False,202.0,364.0,574.0,372.0,5.496471447924407e-05,4.506339987497706e-08,0.00046783107843140215,282.0
0.0,11,163,L_25,L,True,False,232.0,370.0,566.0,334.0,2.0165389903299657e-05,2.9906918298974524e-08,0.0002920932653758257,322.0
0.0,11,343,R_25,R,True,False,234.0,372.0,570.0,336.0,2.037663485650752e-05,3.184113969478621e-08,0.0002916922242928166,322.0
0.0,11,311,R_TE1a,R,True,False,190.0,318.0,486.0,296.0,5.8637284408603135e-05,2.24775581644172e-08,0.0005282791240137641,278.0
0.0,11,134,L_TF,L,True,False,250.0,408.0,582.0,332.0,4.6167340338748524e-05,3.477452349107245e-08,0.0004420450219146943,368.0
0.0,11,127,L_STSda,L,True,False,186.0,314.0,480.0,294.0,8.662563818447067e-05,2.0812405346288517e-08,0.0006440704090557858,278.0
0.0,11,160,L_31pd,L,False,True,166.0,304.0,458.0,292.0,9.530930582858837e-05,2.235548790323429e-08,0.0006796749149398096,238.0
0.0,11,340,R_31pd,R,False,True,192.0,320.0,486.0,294.0,6.467993228861668e-05,2.3742475903434913e-08,0.0005539324479659768,278.0
0.0,11,34,L_31pv,L,False,True,192.0,320.0,490.0,298.0,6.882952392973894e-05,2.3728359496460484e-08,0.0005687996341858792,280.0
0.0,11,214,R_31pv,R,False,True,166.0,290.0,448.0,282.0,7.477470494400244e-05,1.9214974998771576e-08,0.0006156613733825367,236.0
0.0,11,33,L_d23ab,L,False,True,168.0,304.0,454.0,286.0,7.529848139588891e-05,2.023118619020999e-08,0.0006097644050306883,236.0
0.0,11,213,R_d23ab,R,False,True,160.0,278.0,416.0,256.0,8.027066853096654e-05,1.3846163135391943e-08,0.0006615972303549711,234.0
0.0,11,32,L_v23ab,L,False,True,164.0,286.0,448.0,284.0,7.899626931498417e-05,1.8005517605441384e-08,0.0006336287031309951,236.0
0.0,11,212,R_v23ab,R,False,True,154.0,266.0,394.0,240.0,0.00014253166302879638,8.526580582044956e-09,0.0009175048164014044,234.0
0.0,11,31,L_23d,L,False,True,192.0,320.0,490.0,298.0,5.5930796910070676e-05,2.4380423951042432e-08,0.0005125531491234625,278.0
0.0,11,211,R_23d,R,False,True,188.0,318.0,486.0,298.0,6.320774726723214e-05,2.59886854243715e-08,0.000547779456042008,278.0
0.0,11,161,L_31a,L,False,True,200.0,334.0,522.0,322.0,5.680638675653753e-05,2.7852898041279398e-08,0.000505200848960996,280.0
0.0,11,341,R_31a,R,False,True,192.0,320.0,486.0,294.0,6.177799588724512e-05,2.3415996124298023e-08,0.0005426081536938909,278.0
0.0,11,26,L_PCV,L,False,True,154.0,274.0,414.0,260.0,0.00014299791235430987,1.723909883879276e-08,0.0008741344141860452,236.0
0.0,11,206,R_PCV,R,False,True,156.0,278.0,438.0,282.0,0.00013081110842418257,1.9660890337526702e-08,0.0008239106449252631,236.0
0.0,11,29,L_7m,L,False,True,164.0,294.0,460.0,296.0,0.00010975044370795907,2.429558764216645e-08,0.0007247806589631978,238.0
0.0,11,209,R_7m,R,False,True,158.0,282.0,448.0,290.0,0.00011979192785414198,2.1595730171460638e-08,0.000773782520280264,238.0
0.0,11,324,R_IP1,R,False,True,200.0,350.0,532.0,332.0,7.109085731633314e-05,3.3408273201058856e-08,0.0005559886998867114,282.0
0.0,11,270,R_11l,R,False,True,192.0,324.0,524.0,332.0,4.412033778812811e-05,3.251068727025522e-08,0.0004406273573636099,280.0
0.0,11,246,R_8Av,R,False,True,202.0,362.0,550.0,348.0,6.41454588714908e-05,4.3736372001678086e-08,0.0005093558173676627,284.0
0.0,23,23,L_A1,L,False,False,26.0,46.0,164.0,138.0,4.553858261648395,2.4288002917249514e-13,0.30070413453230493,28.0
0.0,23,203,R_A1,R,False,False,26.0,46.0,166.0,140.0,4.5932127335180555,2.293335881337624e-13,0.3005452875679655,28.0
0.0,23,68,L_9m,L,True,False,204.0,366.0,576.0,372.0,5.1644429536545284e-05,4.392851138857351e-08,0.0004520000501244681,282.0
0.0,23,248,R_9m,R,True,False,274.0,420.0,628.0,354.0,4.014978057241925e-05,5.370963408873176e-08,0.0003958199669753526,370.0
0.0,23,64,L_10r,L,True,False,164.0,286.0,450.0,286.0,4.121761547788672e-05,2.1104284024793914e-08,0.00045828048431673096,236.0
0.0,23,244,R_10r,R,True,False,236.0,392.0,580.0,344.0,2.583486556093693e-05,3.842523808514093e-08,0.00032282104404046663,324.0
0.0,23,87,L_10v,L,True,False,314.0,458.0,656.0,342.0,2.153108087221624e-05,4.2496325945171336e-08,0.0002958875577956377,412.0
0.0,23,267,R_10v,R,True,False,192.0,320.0,494.0,302.0,2.9322021939770914e-05,2.721329831797496e-08,0.000370015256894618,278.0
0.0,23,62,L_8BM,L,True,False,242.0,406.0,608.0,366.0,4.508200237151691e-05,4.9390142764928416e-08,0.00041834521830352855,326.0
0.0,23,242,R_8BM,R,True,False,202.0,364.0,574.0,372.0,5.4960580679408965e-05,4.5866828716172486e-08,0.00046782392196931255,282.0
0.0,23,163,L_25,L,True,False,232.0,370.0,566.0,334.0,2.0163904147849783e-05,3.0054549581230003e-08,0.00029208694696514215,322.0
0.0,23,343,R_25,R,True,False,234.0,372.0,570.0,336.0,2.0375383001908604e-05,3.2031294902565796e-08,0.0002916898617879582,322.0
0.0,23,311,R_TE1a,R,True,False,190.0,318.0,486.0,296.0,5.863297126676841e-05,2.2752531699396668e-08,0.0005282630533347543,278.0
0.0,23,134,L_TF,L,True,False,250.0,408.0,582.0,332.0,4.616343959509107e-05,3.496806491465084e-08,0.00044203568612211086,368.0
0.0,23,127,L_STSda,L,True,False,186.0,314.0,480.0,294.0,8.661853426388726e-05,2.107762700829412e-08,0.0006440552255870813,278.0
0.0,23,160,L_31pd,L,False,True,166.0,304.0,458.0,292.0,9.530256355030667e-05,2.258205754526178e-08,0.0006796463712959167,238.0
0.0,23,340,R_31pd,R,False,True,192.0,320.0,486.0,294.0,6.467523575486692e-05,2.3876861510940188e-08,0.0005539192036945195,278.0
0.0,23,34,L_31pv,L,False,True,192.0,320.0,490.0,298.0,6.882448928202439e-05,2.4051371586091673e-08,0.0005687812872210429,280.0
0.0,23,214,R_31pv,R,False,True,166.0,290.0,448.0,282.0,7.476922039766629e-05,1.9253259414034317e-08,0.0006156361981748404,236.0
0.0,23,33,L_d23ab,L,False,True,168.0,304.0,454.0,286.0,7.529286834761735e-05,2.049551690105309e-08,0.0006097438111467568,236.0
0.0,23,213,R_d23ab,R,False,True,160.0,278.0,416.0,256.0,8.026492817957423e-05,1.398639577324767e-08,0.0006615751850311824,234.0
0.0,23,32,L_v23ab,L,False,True,164.0,288.0,448.0,284.0,7.899035691985858e-05,1.8145944607048348e-08,0.0006336002905715787,236.0
0.0,23,212,R_v23ab,R,False,True,154.0,266.0,394.0,240.0,0.00014252166931907675,8.589431711832607e-09,0.0009174718200490872,234.0
0.0,23,31,L_23d,L,False,True,192.0,320.0,490.0,298.0,5.592692685338466e-05,2.4821487594764444e-08,0.0005125449358853729,278.0
0.0,23,211,R_23d,R,False,True,188.0,318.0,486.0,298.0,6.320324864006494e-05,2.6198078199771452e-08,0.0005477657614765263,278.0
0.0,23,161,L_31a,L,False,True,200.0,334.0,522.0,322.0,5.680280799759006e-05,2.8294923130782408e-08,0.0005051936050666228,280.0
0.0,23,341,R_31a,R,False,True,192.0,320.0,486.0,294.0,6.177327798697555e-05,2.3770703047958406e-08,0.000542594811138386,278.0
0.0,23,26,L_PCV,L,False,True,154.0,274.0,414.0,260.0,0.00014298781075624083,1.7409918529208552e-08,0.0008741158454697029,236.0
0.0,23,206,R_PCV,R,False,True,156.0,278.0,438.0,282.0,0.00013080085759357147,1.9926633721602514e-08,0.0008238925772019456,236.0
0.0,23,29,L_7m,L,False,True,164.0,294.0,460.0,296.0,0.00010974186702091145,2.4583541632166777e-08,0.0007247559279051075,238.0
0.0,23,209,R_7m,R,False,True,158.0,282.0,448.0,290.0,0.00011978240148137978,2.1853402584983e-08,0.0007737524913551397,238.0
0.0,23,324,R_IP1,R,False,True,200.0,350.0,532.0,332.0,7.108578577715564e-05,3.36744933641694e-08,0.0005559698518844414,282.0
0.0,23,270,R_11l,R,False,True,192.0,324.0,524.0,332.0,4.4117825609692684e-05,3.2851093553721525e-08,0.00044062439968683975,280.0
0.0,23,246,R_8Av,R,False,True,202.0,362.0,550.0,348.0,6.414107635213175e-05,4.4426059519567164e-08,0.000509340413426429,284.0
1.0,11,23,L_A1,L,False,False,30.0,130.0,256.0,226.0,6.294880986963896,3.3400612176729593e-07,0.2979700318226062,28.0
1.0,11,203,R_A1,R,False,False,32.0,142.0,304.0,272.0,7.202316395840393,1.4204782233756824e-07,0.2982809324994502,28.0
1.0,11,68,L_9m,L,True,False,580.0,928.0,1358.0,778.0,0.0025219932777168397,0.0014667177595717906,0.0021561658126749705,886.0
1.0,11,248,R_9m,R,True,False,554.0,878.0,1236.0,682.0,0.0014773991210794296,0.001811254436856076,0.00174264314614625,886.0
1.0,11,64,L_10r,L,True,False,400.0,668.0,1026.0,626.0,0.0008006499034750983,0.0017099129347322704,0.0013249824154151213,536.0
1.0,11,244,R_10r,R,True,False,1348.0,2048.0,2774.0,1426.0,0.0005901019053632384,0.07867209689596978,0.0015399818253598596,1690.0
1.0,11,87,L_10v,L,True,False,272.0,684.0,1532.0,1260.0,7.216436069272963e-06,0.029030197352002202,0.0001597423784698293,390.0
1.0,11,267,R_10v,R,True,False,1362.0,2348.0,2794.0,1432.0,0.0005154439298921645,0.04901462074725913,0.0014471167711693766,1708.0
1.0,11,62,L_8BM,L,True,False,970.0,2888.0,3304.0,2334.0,0.006588006804473378,0.20892188190396033,0.0038953829002181806,3440.0
1.0,11,242,R_8BM,R,True,False,498.0,958.0,1452.0,954.0,0.0001988666291586105,0.0017350045496215185,0.0008225380317696818,904.0
1.0,11,163,L_25,L,True,False,2540.0,3044.0,3340.0,800.0,0.0003803751270925769,0.29311193136213615,0.0015798293351139137,3372.0
1.0,11,343,R_25,R,True,False,456.0,748.0,1100.0,644.0,0.0003597486986594433,0.0032020460845684985,0.0008821404688053036,668.0
1.0,11,311,R_TE1a,R,True,False,346.0,1266.0,2222.0,1876.0,0.000142641664029438,0.023998297169103993,0.0006617441216292264,350.0
1.0,11,134,L_TF,L,True,False,220.0,624.0,1392.0,1172.0,1.9224880967465675e-05,0.013179407508191677,0.0002582447414187783,52.0
1.0,11,127,L_STSda,L,True,False,552.0,1062.0,2266.0,1714.0,0.00018201955339457363,0.005331441607814281,0.00095299771912849,1050.0
1.0,11,160,L_31pd,L,False,True,280.0,488.0,984.0,704.0,0.0006151376155768091,0.004136566425577127,0.0013973697085418735,322.0
1.0,11,340,R_31pd,R,False,True,60.0,340.0,1302.0,1242.0,3.1239962519849444e-05,0.00625398624608358,0.0004920773071388496,48.0
1.0,11,34,L_31pv,L,False,True,1026.0,1860.0,2712.0,1686.0,0.002978863620653842,0.05971683455967338,0.002386712601776253,1868.0
1.0,11,214,R_31pv,R,False,True,272.0,450.0,834.0,562.0,0.00045667775826767484,0.0050180483188160254,0.001249911487473554,322.0
1.0,11,33,L_d23ab,L,False,True,774.0,1372.0,2012.0,1238.0,0.005943435469046955,0.0014049546104728564,0.002650198348558064,1284.0
1.0,11,213,R_d23ab,R,False,True,800.0,2594.0,3192.0,2392.0,0.005491901700340059,0.13830359599841627,0.002911840797914067,3412.0
1.0,11,32,L_v23ab,L,False,True,334.0,578.0,954.0,620.0,0.0010829634503368578,0.004030330173914432,0.0017220825191870404,408.0
1.0,11,212,R_v23ab,R,False,True,230.0,366.0,602.0,372.0,0.0007126021645804002,0.0016081861548537088,0.0017333855065100323,318.0
1.0,11,31,L_23d,L,False,True,330.0,608.0,1150.0,820.0,0.0005205826399277758,0.0032872131100403794,0.0011553932550043555,408.0
1.0,11,211,R_23d,R,False,True,288.0,498.0,1054.0,766.0,0.00045561713307510753,0.006165984015965994,0.0011814874835440747,408.0
1.0,11,161,L_31a,L,False,True,328.0,624.0,1240.0,912.0,0.0003790024025152149,0.003982846997104271,0.0009673008587895993,410.0
1.0,11,341,R_31a,R,False,True,1394.0,2224.0,2918.0,1524.0,0.01600649007169894,0.052757397405423304,0.003961064058868757,2670.0
1.0,11,26,L_PCV,L,False,True,1494.0,2246.0,3132.0,1638.0,0.024142933294583706,0.10795426789670559,0.0054255098940885205,3386.0
1.0,11,206,R_PCV,R,False,True,328.0,568.0,922.0,594.0,0.00214087824031359,0.00286029703363679,0.002469459120797879,408.0
1.0,11,29,L_7m,L,False,True,466.0,830.0,1238.0,772.0,0.0045047244718742566,0.00313779001800754,0.002828683026258716,498.0
1.0,11,209,R_7m,R,False,True,270.0,480.0,1238.0,968.0,0.0007829236815993276,0.004049757831228824,0.0015835915440192139,322.0
1.0,11,324,R_IP1,R,False,True,1350.0,2150.0,2906.0,1556.0,0.01749798098300524,0.05454567329041945,0.004107475138400929,2764.0
1.0,11,270,R_11l,R,False,True,56.0,308.0,1222.0,1166.0,1.913217325224301e-05,0.010527448837101978,0.00040665114527005386,48.0
1.0,11,246,R_8Av,R,False,True,508.0,846.0,1260.0,752.0,0.002825699520001943,0.0017292072186305737,0.002308939493097739,886.0
1.0,23,23,L_A1,L,False,False,30.0,130.0,256.0,226.0,6.272581137550972,7.059001380816842e-07,0.29832630652093073,28.0
1.0,23,203,R_A1,R,False,False,32.0,140.0,304.0,272.0,7.175935828199926,3.6109660846407744e-07,0.29853398069378834,28.0
1.0,23,68,L_9m,L,True,False,550.0,890.0,1276.0,726.0,0.0024173978053966625,0.004596229734137984,0.00211934141547232,886.0
1.0,23,248,R_9m,R,True,False,544.0,840.0,1192.0,648.0,0.0014159066800420222,0.007219352268487984,0.0017291904994234386,716.0
1.0,23,64,L_10r,L,True,False,376.0,634.0,998.0,622.0,0.0007619187349957616,0.004591146096241845,0.0013475602443016044,494.0
1.0,23,244,R_10r,R,True,False,430.0,1730.0,2484.0,2054.0,0.00022903995945930693,0.09580901712141117,0.0009493413709495968,314.0
1.0,23,87,L_10v,L,True,False,268.0,614.0,1286.0,1018.0,6.465720080133142e-06,0.025144772825627337,0.0001560084733638334,390.0
1.0,23,267,R_10v,R,True,False,330.0,1710.0,2428.0,2098.0,0.00012492221763865438,0.043479814158069355,0.0007961192469263523,326.0
1.0,23,62,L_8BM,L,True,False,602.0,1040.0,2294.0,1692.0,0.002655916054915493,0.01592281224947224,0.002291548389676379,662.0
1.0,23,242,R_8BM,R,True,False,906.0,1442.0,2218.0,1312.0,0.00042691333099879387,0.019944925528748148,0.0011757048039999773,1348.0
1.0,23,163,L_25,L,True,False,2552.0,3058.0,3344.0,792.0,0.00031880034000586585,0.3006642073427707,0.0014784372095544285,3372.0
1.0,23,343,R_25,R,True,False,450.0,710.0,1054.0,604.0,0.00034589271484751326,0.008412892917666656,0.0009012818250244692,626.0
1.0,23,311,R_TE1a,R,True,False,152.0,836.0,2030.0,1878.0,9.660854381224085e-05,0.01009958430788959,0.0007253952519405971,350.0
1.0,23,134,L_TF,L,True,False,220.0,556.0,1350.0,1130.0,1.8812025676807803e-05,0.018209018360413717,0.00025951737197349445,52.0
1.0,23,127,L_STSda,L,True,False,152.0,1002.0,1668.0,1516.0,0.00010083131534825368,0.013278641100145988,0.0006716428770765503,1048.0
1.0,23,160,L_31pd,L,False,True,278.0,464.0,962.0,684.0,0.0005971506409450943,0.008695149058941835,0.0013901074996791607,322.0
1.0,23,340,R_31pd,R,False,True,60.0,336.0,1306.0,1246.0,3.0879772999229385e-05,0.010824733309613912,0.000492961644254386,48.0
1.0,23,34,L_31pv,L,False,True,1010.0,1870.0,2754.0,1744.0,0.0026437682393625453,0.06492870965087043,0.0022087342895389384,1076.0
1.0,23,214,R_31pv,R,False,True,272.0,446.0,806.0,534.0,0.0004484940901931304,0.011022392861053977,0.0012448696673938997,364.0
1.0,23,33,L_d23ab,L,False,True,726.0,1246.0,1772.0,1046.0,0.006224287526616718,0.0054645527016271315,0.0028655974373705817,1240.0
1.0,23,213,R_d23ab,R,False,True,654.0,1452.0,2906.0,2252.0,0.004329505401228381,0.07343323958977405,0.0022675324543470765,568.0
1.0,23,32,L_v23ab,L,False,True,332.0,562.0,908.0,576.0,0.0010428849125106682,0.008832117450556315,0.0017369632768780008,408.0
1.0,23,212,R_v23ab,R,False,True,228.0,362.0,572.0,344.0,0.0006943871379518056,0.004002466359276244,0.0017232211409137221,318.0
1.0,23,31,L_23d,L,False,True,332.0,582.0,1136.0,804.0,0.0005140251143752645,0.008311175129021369,0.001175677374297024,408.0
1.0,23,211,R_23d,R,False,True,286.0,490.0,1022.0,736.0,0.0004456499448428704,0.01239225424322546,0.001192518056640779,408.0
1.0,23,161,L_31a,L,False,True,328.0,588.0,1224.0,896.0,0.0003732623705913894,0.010096898397559666,0.0009864466552826912,410.0
1.0,23,341,R_31a,R,False,True,1388.0,2192.0,2932.0,1544.0,0.023983955189756146,0.060220599016967795,0.004678530521493585,2674.0
1.0,23,26,L_PCV,L,False,True,1672.0,2424.0,3140.0,1468.0,0.03571028480863782,0.11188162403089913,0.006938219879312868,3474.0
1.0,23,206,R_PCV,R,False,True,326.0,538.0,878.0,552.0,0.002079370378077056,0.0073730311048771134,0.002482929520480681,408.0
1.0,23,29,L_7m,L,False,True,458.0,758.0,1160.0,702.0,0.004354760714595848,0.006585977491066611,0.002992306590915206,626.0
1.0,23,209,R_7m,R,False,True,270.0,458.0,1286.0,1016.0,0.0007749325523534924,0.01042885109837787,0.0015749380330891682,322.0
1.0,23,324,R_IP1,R,False,True,1266.0,2070.0,2896.0,1630.0,0.025235933713958002,0.0602756838173214,0.004592087297879743,2770.0
1.0,23,270,R_11l,R,False,True,56.0,298.0,1098.0,1042.0,1.8572247592344753e-05,0.014821680345811994,0.0004073750694066902,48.0
1.0,23,246,R_8Av,R,False,True,498.0,796.0,1184.0,686.0,0.0027078854653980397,0.0042929728523190235,0.002381453575203807,714.0
0.0,37,23,L_A1,L,False,False,26.0,46.0,164.0,138.0,4.553890154168855,2.4503896659576823e-13,0.3007049221314926,28.0
0.0,37,203,R_A1,R,False,False,26.0,46.0,166.0,140.0,4.593243609403723,2.293724230501097e-13,0.3005460628015726,28.0
0.0,37,68,L_9m,L,True,False,204.0,366.0,576.0,372.0,5.164807766705529e-05,4.3777368516672284e-08,0.0004520105912817485,282.0
0.0,37,248,R_9m,R,True,False,274.0,420.0,628.0,354.0,4.015207362803972e-05,5.361930248627512e-08,0.0003958231401490764,370.0
0.0,37,64,L_10r,L,True,False,164.0,286.0,450.0,286.0,4.122023144971925e-05,2.1114231701720803e-08,0.0004582979738323445,236.0
0.0,37,244,R_10r,R,True,False,236.0,392.0,580.0,344.0,2.5836025399570046e-05,3.8704506061968556e-08,0.00032282718182763404,324.0
0.0,37,87,L_10v,L,True,False,314.0,458.0,656.0,342.0,2.15326425727264e-05,4.245969799415589e-08,0.000295898264267791,412.0
0.0,37,267,R_10v,R,True,False,192.0,320.0,494.0,302.0,2.9323317574272103e-05,2.7160312381294558e-08,0.00037002056767754254,278.0
0.0,37,62,L_8BM,L,True,False,242.0,406.0,608.0,366.0,4.508528587655545e-05,4.938487665120597e-08,0.0004183618504143283,326.0
0.0,37,242,R_8BM,R,True,False,202.0,364.0,574.0,372.0,5.496370705789204e-05,4.575583146891169e-08,0.0004678326875406924,282.0
0.0,37,163,L_25,L,True,False,232.0,370.0,566.0,334.0,2.016517245634706e-05,3.0220005505046135e-08,0.00029209556985243523,322.0
0.0,37,343,R_25,R,True,False,234.0,372.0,570.0,336.0,2.0376224617904008e-05,3.204879452105878e-08,0.0002916951068936413,322.0
0.0,37,311,R_TE1a,R,True,False,190.0,318.0,486.0,296.0,5.863575091616893e-05,2.266015644602386e-08,0.0005282710325538176,278.0
0.0,37,134,L_TF,L,True,False,250.0,408.0,582.0,332.0,4.616600724855456e-05,3.5270181694158355e-08,0.00044204293064709077,368.0
0.0,37,127,L_STSda,L,True,False,186.0,314.0,480.0,294.0,8.6623492559331e-05,2.1206059183686844e-08,0.0006440647629908369,278.0
0.0,37,160,L_31pd,L,False,True,166.0,304.0,458.0,292.0,9.530733531419385e-05,2.265849090190457e-08,0.0006796658997334504,238.0
0.0,37,340,R_31pd,R,False,True,192.0,320.0,486.0,294.0,6.467875111466178e-05,2.4033264980858477e-08,0.0005539268458658597,278.0
0.0,37,34,L_31pv,L,False,True,192.0,320.0,490.0,298.0,6.882810507117432e-05,2.411635312680347e-08,0.0005687930505366978,280.0
0.0,37,214,R_31pv,R,False,True,166.0,290.0,448.0,282.0,7.477229505812532e-05,1.9401269066629848e-08,0.0006156490348576682,236.0
0.0,37,33,L_d23ab,L,False,True,168.0,304.0,454.0,286.0,7.529682044489969e-05,2.05579457743172e-08,0.0006097582852913064,236.0
0.0,37,213,R_d23ab,R,False,True,160.0,278.0,416.0,256.0,8.02689423081585e-05,1.3983668268432222e-08,0.0006615883934397715,234.0
0.0,37,32,L_v23ab,L,False,True,164.0,286.0,448.0,284.0,7.899379727180251e-05,1.8278714083297133e-08,0.0006336185272726169,236.0
0.0,37,212,R_v23ab,R,False,True,154.0,266.0,394.0,240.0,0.00014252805768575372,8.610028610999044e-09,0.0009174918774697005,234.0
0.0,37,31,L_23d,L,False,True,192.0,320.0,490.0,298.0,5.593035650510852e-05,2.4890274281214136e-08,0.0005125549490081482,278.0
0.0,37,211,R_23d,R,False,True,188.0,318.0,486.0,298.0,6.320585981224879e-05,2.6310683770438456e-08,0.0005477726431912799,278.0
0.0,37,161,L_31a,L,False,True,200.0,334.0,522.0,322.0,5.680595216871306e-05,2.8442812775775554e-08,0.0005052007089059174,280.0
0.0,37,341,R_31a,R,False,True,192.0,320.0,486.0,294.0,6.177654449015915e-05,2.3739345210975233e-08,0.0005426040846323588,278.0
0.0,37,26,L_PCV,L,False,True,154.0,274.0,414.0,260.0,0.00014299533570563813,1.7496244486962148e-08,0.0008741320460181612,236.0
0.0,37,206,R_PCV,R,False,True,156.0,278.0,438.0,282.0,0.00013080719533816484,1.9956902157331016e-08,0.0008239020730549385,236.0
0.0,37,29,L_7m,L,False,True,164.0,294.0,460.0,296.0,0.00010974804741730417,2.46661034403261e-08,0.0007247740683560266,238.0
0.0,37,209,R_7m,R,False,True,158.0,282.0,448.0,290.0,0.00011978876685449303,2.1905490902995978e-08,0.0007737716472817624,238.0
0.0,37,324,R_IP1,R,False,True,200.0,350.0,532.0,332.0,7.108883878093816e-05,3.376317735542617e-08,0.0005559802136509973,282.0
0.0,37,270,R_11l,R,False,True,192.0,324.0,524.0,332.0,4.4119893287605916e-05,3.279169071332916e-08,0.00044063154397022686,280.0
0.0,37,246,R_8Av,R,False,True,202.0,362.0,550.0,348.0,6.414398020973671e-05,4.435224230093661e-08,0.0005093502331128263,284.0
0.0,53,23,L_A1,L,False,False,26.0,46.0,164.0,138.0,4.553947221717301,2.409524261164119e-13,0.30070597078010763,28.0
0.0,53,203,R_A1,R,False,False,26.0,46.0,166.0,140.0,4.593298992417793,2.2616258387881012e-13,0.3005471000471349,28.0
0.0,53,68,L_9m,L,True,False,204.0,366.0,576.0,372.0,5.165035995272452e-05,4.335365963522479e-08,0.0004520159322574102,282.0
0.0,53,248,R_9m,R,True,False,274.0,420.0,628.0,354.0,4.015376941681895e-05,5.3133548573117473e-08,0.00039582462544629493,370.0
0.0,53,64,L_10r,L,True,False,164.0,286.0,450.0,286.0,4.1221842805000625e-05,2.0823864710095203e-08,0.00045831284354491686,236.0
0.0,53,244,R_10r,R,True,False,236.0,392.0,580.0,344.0,2.5837326403095138e-05,3.827958101041939e-08,0.00032283771877672507,324.0
0.0,53,87,L_10v,L,True,False,314.0,458.0,656.0,342.0,2.153418847071444e-05,4.213708529480012e-08,0.00029590539405788263,412.0
0.0,53,267,R_10v,R,True,False,192.0,320.0,494.0,302.0,2.932444093295399e-05,2.671225718382676e-08,0.00037002442294742366,278.0
0.0,53,62,L_8BM,L,True,False,242.0,406.0,608.0,366.0,4.508709592400938e-05,4.888531601179409e-08,0.00041836715677590064,326.0
0.0,53,242,R_8BM,R,True,False,202.0,364.0,574.0,372.0,5.4966786348503675e-05,4.5169531054243136e-08,0.0004678406638518595,282.0
0.0,53,163,L_25,L,True,False,232.0,370.0,566.0,334.0,2.0166227569697593e-05,3.002438004236314e-08,0.0002921011952459196,322.0
0.0,53,343,R_25,R,True,False,234.0,372.0,570.0,336.0,2.0377548063718142e-05,3.1736541271628105e-08,0.00029170153752211547,322.0
0.0,53,311,R_TE1a,R,True,False,190.0,318.0,486.0,296.0,5.8639158578661865e-05,2.2475399709059922e-08,0.0005282815858755896,278.0
0.0,53,134,L_TF,L,True,False,250.0,406.0,582.0,332.0,4.616942397281346e-05,3.475910233267811e-08,0.0004420530351225693,368.0
0.0,53,127,L_STSda,L,True,False,186.0,314.0,480.0,294.0,8.662952327836701e-05,2.09115844875579e-08,0.0006440764655550879,278.0
0.0,53,160,L_31pd,L,False,True,166.0,304.0,458.0,292.0,9.531324618013071e-05,2.2374172400025157e-08,0.0006796934200767879,238.0
0.0,53,340,R_31pd,R,False,True,192.0,320.0,486.0,294.0,6.468269245173597e-05,2.3697841820441874e-08,0.0005539387592552458,278.0
0.0,53,34,L_31pv,L,False,True,192.0,320.0,490.0,298.0,6.883230775100631e-05,2.3896472284709865e-08,0.000568811832829752,280.0
0.0,53,214,R_31pv,R,False,True,166.0,288.0,448.0,282.0,7.477772714968823e-05,1.9277094304184617e-08,0.0006156784075930233,236.0
0.0,53,33,L_d23ab,L,False,True,168.0,304.0,454.0,286.0,7.530206920717706e-05,2.035338411044534e-08,0.0006097833878850878,236.0
0.0,53,213,R_d23ab,R,False,True,160.0,278.0,416.0,256.0,8.027425852266661e-05,1.3850198631603061e-08,0.0006616130726406766,234.0
0.0,53,32,L_v23ab,L,False,True,164.0,286.0,448.0,284.0,7.899948464303802e-05,1.8074379568858776e-08,0.0006336438624270357,236.0
0.0,53,212,R_v23ab,R,False,True,154.0,266.0,394.0,240.0,0.00014253874879432033,8.484638955812156e-09,0.0009175328088062429,234.0
0.0,53,31,L_23d,L,False,True,192.0,320.0,490.0,298.0,5.593355024129249e-05,2.4570903564542223e-08,0.0005125622455111056,278.0
